nohup: ignoring input
⛏️  Mining Irium Genesis Block...

Genesis Configuration:
  Timestamp: 1735689600
  Bits: 0x1d00ffff
  Target: 26959535291011309493156476344723991336010898738574164086137773096960
  Merkle root: a0bd470d94bf7ef20539a0a6e2bd30629795f0bad5160d0495e07e85e4a5db04
  Total vesting: 3500000.0 IRM

⛏️  Mining for valid nonce...
  Nonce: 34,600,000 | Hashrate: 205668.75 H/s
  Nonce: 34,700,000 | Hashrate: 205670.58 H/s
  Nonce: 34,800,000 | Hashrate: 205649.31 H/s
  Nonce: 34,900,000 | Hashrate: 205623.16 H/s
  Nonce: 35,000,000 | Hashrate: 205591.38 H/s
  Nonce: 35,100,000 | Hashrate: 205554.28 H/s
  Nonce: 35,200,000 | Hashrate: 205512.51 H/s
  Nonce: 35,300,000 | Hashrate: 205491.78 H/s
  Nonce: 35,400,000 | Hashrate: 205483.75 H/s
  Nonce: 35,500,000 | Hashrate: 205438.91 H/s
  Nonce: 35,600,000 | Hashrate: 205427.02 H/s
  Nonce: 35,700,000 | Hashrate: 205503.88 H/s
  Nonce: 35,800,000 | Hashrate: 205534.67 H/s
  Nonce: 35,900,000 | Hashrate: 205538.38 H/s
  Nonce: 36,000,000 | Hashrate: 205575.44 H/s
  Nonce: 36,100,000 | Hashrate: 205541.88 H/s
  Nonce: 36,200,000 | Hashrate: 205441.75 H/s
  Nonce: 36,300,000 | Hashrate: 205385.67 H/s
  Nonce: 36,400,000 | Hashrate: 205341.92 H/s
  Nonce: 36,500,000 | Hashrate: 205323.10 H/s
  Nonce: 36,600,000 | Hashrate: 205310.91 H/s
  Nonce: 36,700,000 | Hashrate: 205286.73 H/s
  Nonce: 36,800,000 | Hashrate: 205259.25 H/s
  Nonce: 36,900,000 | Hashrate: 205266.72 H/s
  Nonce: 37,000,000 | Hashrate: 205298.70 H/s
  Nonce: 37,100,000 | Hashrate: 205296.53 H/s
  Nonce: 37,200,000 | Hashrate: 205277.71 H/s
  Nonce: 37,300,000 | Hashrate: 205282.81 H/s
  Nonce: 37,400,000 | Hashrate: 205302.25 H/s
  Nonce: 37,500,000 | Hashrate: 205298.75 H/s
  Nonce: 37,600,000 | Hashrate: 205292.04 H/s
  Nonce: 37,700,000 | Hashrate: 205308.74 H/s
  Nonce: 37,800,000 | Hashrate: 205346.92 H/s
  Nonce: 37,900,000 | Hashrate: 205362.11 H/s
  Nonce: 38,000,000 | Hashrate: 205383.61 H/s
  Nonce: 38,100,000 | Hashrate: 205414.74 H/s
  Nonce: 38,200,000 | Hashrate: 205395.04 H/s
  Nonce: 38,300,000 | Hashrate: 205387.96 H/s
